,pollPlaceName,googlePlaceID,dates,county,idTown,lat,lng,address,url
44,MOSQUITO CONTROL,ChIJwW6hD5ah-4gRlRTOBONmQG8,"['10/12/2020 - 10/16/2020 09:00 AM - 04:00 PM', '10/19/2020 - 10/23/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 09:00 AM - 04:00 PM']",Chatham County,025,32.1180197,-81.1918194,"65 BILLY B HAIR DR, SAVANNAH, GA 31407","https://www.google.com/maps/search/65+BILLY+B+HAIR+DR+SAVANNAH,+GA,+31407"
45,POOLER RECREATION PARK GYMNASIUM,ChIJ7_F_AS2h-4gRDivd03GDZj8,"['10/12/2020 - 10/16/2020 10:00 AM - 04:00 PM', '10/19/2020 - 10/23/2020 10:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 10:00 AM - 04:00 PM']",Chatham County,025,32.1078629,-81.24981819999999,"900 S ROGERS ST, POOLER, GA 31322","https://www.google.com/maps/search/900+S+ROGERS+ST+POOLER,+GA,+31322"
46,SOUTHWEST LIBRARY,ChIJ345g8TkL-4gRA5JcHMEkk58,"['10/12/2020 - 10/16/2020 10:00 AM - 04:00 PM', '10/19/2020 - 10/23/2020 10:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 10:00 AM - 04:00 PM']",Chatham County,025,31.9857137,-81.1758708,"14097 ABERCORN ST, SAVANNAH, GA 31419","https://www.google.com/maps/search/14097+ABERCORN+ST+SAVANNAH,+GA,+31419"
47,UNIFIED GOVT OFFICES OF CUSSETA-CHATTAHOOCHEE COUNTY,ChIJRzOpwiQm84gRBcZysg4DNSE,['10/12/2020 - 10/30/2020 08:00 AM - 04:00 PM'],Chattahoochee County,026,32.3080016,-84.7641763,"215 MCNAUGHTON, CUSSETA, GA 31805","https://www.google.com/maps/search/215+MCNAUGHTON+CUSSETA,+GA,+31805"
48,CHATTOOGA COUNTY REGISTRARS OFFICE,ChIJIyU0PzEhYIgRj89Brg-vPOM,"['10/12/2020 - 10/16/2020 08:30 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:30 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:30 AM - 05:00 PM']",Chattooga County,027,34.4801287,-85.34841329999999,"10017 COMMERCE ST, SUMMERVILLE, GA 30747","https://www.google.com/maps/search/10017+COMMERCE+ST+SUMMERVILLE,+GA,+30747"
49,BALL GROUND PUBLIC LIBRARY,ChIJm7o1LLR99YgRmMxgVWG_Yws,"['10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:30 AM - 07:00 PM']",Cherokee County,028,34.340489,-84.37824300000001,"435 OLD CANTON RD, BALL GROUND, GA 30107","https://www.google.com/maps/search/435+OLD+CANTON+RD+BALL+GROUND,+GA,+30107"
50,CHEROKEE COUNTY BOARD OF ELECTIONS,ChIJSfBsw_Vl9YgRRafobJ8XuWs,"['10/12/2020 - 10/16/2020 08:30 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:30 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:30 AM - 07:00 PM']",Cherokee County,028,34.2099036,-84.5055867,"2782 MARIETTA HWY, CANTON, GA 30114","https://www.google.com/maps/search/2782+MARIETTA+HWY,+SUITE+100+CANTON,+GA,+30114"
51,ELECTIONS WAREHOUSE,ChIJHRNuQqRl9YgR4wrvTcIR9o4,"['10/12/2020 - 10/16/2020 08:30 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:30 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:30 AM - 07:00 PM']",Cherokee County,028,34.2365748,-84.4872694,"400 EAST MAIN ST, CANTON, GA 30114","https://www.google.com/maps/search/400+EAST+MAIN+ST+CANTON,+GA,+30114"
52,HICKORY FLAT PUBLIC LIBRARY,ChIJKTemRTdw9YgRdQoa9xV55hw,"['10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:30 AM - 07:00 PM']",Cherokee County,028,34.17043,-84.421435,"2740 EAST CHEROKEE DR, CANTON, GA 30115 - 00","https://www.google.com/maps/search/2740+EAST+CHEROKEE+DR+CANTON,+GA,+30115+-+00"
53,ROSE CREEK PUBLIC LIBRARY,ChIJDWA0xYVp9YgRRWbzJQvZ4-c,"['10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:30 AM - 07:00 PM']",Cherokee County,028,34.129098,-84.572572,"4476 TOWNE LAKE PARKWAY, WOODSTOCK, GA 30189","https://www.google.com/maps/search/4476+TOWNE+LAKE+PARKWAY+WOODSTOCK,+GA,+30189"
